Date,Open,High,Low,Close,Adj Close,Volume
2020-12-21,5.090000,5.130000,5.040000,5.130000,5.130000,143500
2020-12-22,5.130000,5.130000,5.080000,5.110000,5.110000,105000
2020-12-23,5.140000,5.190000,5.120000,5.190000,5.190000,68800
2020-12-24,5.220000,5.230000,5.210000,5.220000,5.220000,41000
2020-12-28,5.230000,5.240000,5.200000,5.210000,5.210000,64800
2020-12-29,5.240000,5.250000,5.220000,5.240000,5.240000,164700
2020-12-30,5.290000,5.340000,5.290000,5.300000,5.300000,92000
2020-12-31,5.330000,5.340000,5.300000,5.330000,5.330000,83600
2021-01-04,5.300000,5.310000,5.220000,5.220000,5.220000,192600
2021-01-05,5.420000,5.520000,5.400000,5.510000,5.510000,167400
2021-01-06,5.620000,5.680000,5.570000,5.660000,5.660000,131700
2021-01-07,5.680000,5.730000,5.650000,5.720000,5.720000,246000
2021-01-08,5.820000,5.830000,5.760000,5.820000,5.820000,220900
2021-01-11,5.800000,5.850000,5.800000,5.820000,5.820000,210300
2021-01-12,5.650000,5.690000,5.620000,5.680000,5.680000,433000
2021-01-13,5.640000,5.660000,5.620000,5.650000,5.650000,242300
2021-01-14,5.730000,5.820000,5.730000,5.800000,5.800000,202400
2021-01-15,5.730000,5.750000,5.680000,5.710000,5.710000,223000
2021-01-19,5.630000,5.630000,5.560000,5.600000,5.600000,842000
2021-01-20,5.540000,5.570000,5.510000,5.570000,5.570000,230500
2021-01-21,5.600000,5.610000,5.500000,5.550000,5.550000,200800
2021-01-22,5.500000,5.510000,5.440000,5.470000,5.470000,190800
2021-01-25,5.460000,5.470000,5.400000,5.450000,5.450000,217600
2021-01-26,5.460000,5.460000,5.420000,5.460000,5.460000,168700
2021-01-27,5.380000,5.380000,5.280000,5.300000,5.300000,244600
2021-01-28,5.280000,5.370000,5.280000,5.340000,5.340000,376500
2021-01-29,5.380000,5.410000,5.320000,5.360000,5.360000,283100
2021-02-01,5.280000,5.340000,5.270000,5.340000,5.340000,231800
2021-02-02,5.270000,5.330000,5.250000,5.330000,5.330000,199600
2021-02-03,5.530000,5.750000,5.520000,5.750000,5.750000,317800
2021-02-04,5.650000,5.680000,5.610000,5.640000,5.640000,183700
2021-02-05,5.670000,5.690000,5.640000,5.670000,5.670000,242600
2021-02-08,5.740000,5.930000,5.740000,5.900000,5.900000,2144100
2021-02-09,6.000000,6.130000,6.000000,6.100000,6.100000,823800
2021-02-10,6.150000,6.170000,6.060000,6.130000,6.130000,464300
2021-02-11,6.150000,6.170000,6.100000,6.130000,6.130000,421300
2021-02-12,6.170000,6.310000,6.170000,6.250000,6.250000,1014000
2021-02-16,6.230000,6.280000,6.190000,6.200000,6.200000,533200
2021-02-17,6.200000,6.220000,6.160000,6.200000,6.200000,181600
2021-02-18,5.970000,6.000000,5.930000,6.000000,6.000000,387300
2021-02-19,5.960000,5.980000,5.940000,5.950000,5.950000,185800
2021-02-22,6.000000,6.130000,6.000000,6.080000,6.080000,295800
2021-02-23,6.030000,6.100000,5.970000,6.080000,6.080000,356800
2021-02-24,6.020000,6.080000,6.010000,6.070000,6.070000,194600
2021-02-25,6.030000,6.030000,5.890000,5.930000,5.930000,319400
2021-02-26,5.970000,5.970000,5.850000,5.880000,5.880000,161800
2021-03-01,5.970000,5.990000,5.940000,5.980000,5.980000,121600
2021-03-02,5.960000,5.970000,5.920000,5.950000,5.950000,87800
2021-03-03,5.980000,6.080000,5.980000,6.050000,6.050000,330000
2021-03-04,6.070000,6.080000,5.920000,6.010000,6.010000,456200
